Player,Age,Team,Lg,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos,Awards,Salary
Addison Barger,24.0,TOR,AL,0.4,69.0,225.0,208.0,20.0,41.0,11.0,0.0,7.0,28.0,2.0,0.0,14.0,60.0,0.197,0.25,0.351,0.601,69.0,0.272,70.0,73.0,1.0,1.0,0.0,1.0,0.0,59H7/D,,"$405,756 "
Hunter Goodman,24.0,COL,NL,-0.8,70.0,224.0,211.0,24.0,40.0,9.0,0.0,13.0,36.0,1.0,1.0,8.0,64.0,0.19,0.228,0.417,0.645,69.0,0.27,59.0,88.0,5.0,3.0,0.0,2.0,0.0,92DH/73,,"$572,832 "
Garrett Mitchell,25.0,MIL,NL,2.0,69.0,224.0,196.0,33.0,50.0,12.0,3.0,8.0,21.0,11.0,4.0,25.0,71.0,0.255,0.342,0.469,0.812,124.0,0.354,123.0,92.0,1.0,1.0,2.0,0.0,0.0,89H/D,,"$999,800 "
Ronald Acuña Jr.,26.0,ATL,NL,0.0,49.0,222.0,192.0,38.0,48.0,8.0,1.0,4.0,15.0,16.0,3.0,27.0,53.0,0.25,0.351,0.365,0.716,100.0,0.343,110.0,70.0,4.0,3.0,0.0,0.0,0.0,9,,"$17,000,000 "
Daniel Schneemann,27.0,CLE,AL,0.7,73.0,221.0,193.0,17.0,42.0,10.0,2.0,5.0,22.0,3.0,2.0,25.0,70.0,0.218,0.303,0.368,0.671,91.0,0.297,90.0,71.0,1.0,0.0,0.0,3.0,0.0,6589H/47D,,"$740,000 "
Tyler Soderstrom,22.0,OAK,AL,0.5,61.0,213.0,189.0,18.0,44.0,10.0,0.0,9.0,26.0,0.0,0.0,20.0,53.0,0.233,0.315,0.429,0.743,114.0,0.33,118.0,81.0,7.0,3.0,0.0,1.0,1.0,3/H2,,"$572,832 "
Austin Slater,31.0,BAL,AL,0.5,33.0,79.0,69.0,10.0,17.0,3.0,0.0,1.0,6.0,1.0,1.0,8.0,23.0,0.246,0.342,0.333,0.675,99.0,0.311,109.0,23.0,2.0,2.0,0.0,0.0,0.0,79H/8,,"$246,667 "
Trent Grisham,27.0,NYY,AL,0.4,76.0,209.0,179.0,21.0,34.0,8.0,0.0,9.0,31.0,1.0,1.0,22.0,57.0,0.19,0.29,0.385,0.675,91.0,0.306,95.0,69.0,5.0,4.0,1.0,2.0,1.0,8H/D,,"$5,500,000 "
Kyle Stowers,26.0,MIA,NL,-0.7,50.0,172.0,156.0,12.0,29.0,7.0,2.0,2.0,15.0,0.0,0.0,13.0,61.0,0.186,0.262,0.295,0.556,53.0,0.254,48.0,46.0,2.0,3.0,0.0,0.0,0.0,78/9H,,"$242,658 "
Jackson Holliday,20.0,BAL,AL,0.1,60.0,208.0,190.0,28.0,36.0,4.0,2.0,5.0,23.0,4.0,0.0,15.0,69.0,0.189,0.255,0.311,0.565,65.0,0.265,70.0,59.0,1.0,2.0,0.0,1.0,0.0,4/H6D,,"$310,284 "
Jorge Mateo,29.0,BAL,AL,0.9,68.0,208.0,192.0,30.0,44.0,14.0,2.0,5.0,18.0,13.0,2.0,10.0,48.0,0.229,0.267,0.401,0.668,92.0,0.294,87.0,77.0,3.0,1.0,2.0,3.0,0.0,4/6H8D,,"$2,700,000 "
Travis Jankowski,33.0,TEX,AL,0.3,104.0,207.0,190.0,19.0,38.0,5.0,0.0,1.0,12.0,11.0,1.0,12.0,44.0,0.2,0.266,0.242,0.508,49.0,0.256,54.0,46.0,3.0,5.0,0.0,0.0,0.0,9H7D8,,"$1,700,000 "
Jhonkensy Noel,22.0,CLE,AL,1.0,67.0,198.0,179.0,25.0,39.0,7.0,1.0,13.0,28.0,0.0,0.0,13.0,63.0,0.218,0.288,0.486,0.774,116.0,0.333,114.0,87.0,1.0,5.0,0.0,1.0,0.0,9H/3D7,,"$377,910 "
Connor Norby,24.0,MIA,NL,0.2,36.0,162.0,146.0,29.0,36.0,8.0,0.0,7.0,17.0,3.0,3.0,15.0,52.0,0.247,0.315,0.445,0.76,106.0,0.321,100.0,65.0,1.0,0.0,0.0,1.0,0.0,5/D4,,"$163,098 "
Josh Jung,26.0,TEX,AL,0.6,46.0,188.0,178.0,19.0,47.0,5.0,1.0,7.0,16.0,4.0,0.0,8.0,48.0,0.264,0.298,0.421,0.719,105.0,0.319,103.0,75.0,1.0,1.0,0.0,1.0,0.0,5/D,,"$756,000 "
Garrett Stubbs,31.0,PHI,NL,0.4,54.0,187.0,164.0,18.0,34.0,4.0,1.0,1.0,11.0,5.0,0.0,17.0,50.0,0.207,0.296,0.262,0.558,59.0,0.271,63.0,43.0,0.0,4.0,0.0,1.0,0.0,2/1H,,"$850,000 "
Daz Cameron,27.0,OAK,AL,-0.5,66.0,186.0,170.0,22.0,34.0,5.0,1.0,5.0,15.0,5.0,0.0,13.0,51.0,0.2,0.258,0.329,0.587,70.0,0.268,69.0,56.0,3.0,1.0,0.0,2.0,0.0,79H8/D,,"$521,118 "
Matt Thaiss,29.0,LAA,AL,0.6,57.0,186.0,157.0,14.0,32.0,9.0,0.0,2.0,16.0,3.0,0.0,28.0,58.0,0.204,0.323,0.299,0.622,78.0,0.295,83.0,47.0,2.0,0.0,0.0,1.0,0.0,2/DH,,"$770,000 "
Jordan Beck,23.0,COL,NL,-0.8,55.0,184.0,170.0,14.0,32.0,6.0,0.0,3.0,13.0,7.0,1.0,12.0,65.0,0.188,0.245,0.276,0.521,41.0,0.246,36.0,47.0,3.0,1.0,0.0,1.0,1.0,79/8H,,"$572,832 "
Alex Kirilloff,26.0,MIN,AL,-0.6,57.0,178.0,159.0,20.0,32.0,8.0,3.0,5.0,20.0,0.0,0.0,15.0,47.0,0.201,0.27,0.384,0.653,81.0,0.287,79.0,61.0,5.0,1.0,0.0,3.0,0.0,7D3/H9,,"$1,350,000 "
Ben Rice,25.0,NYY,AL,-0.4,50.0,178.0,152.0,20.0,26.0,6.0,0.0,7.0,23.0,0.0,1.0,20.0,48.0,0.171,0.264,0.349,0.613,73.0,0.275,74.0,53.0,2.0,1.0,0.0,5.0,0.0,3/H2,,"$302,328 "
Jordan Walker,22.0,STL,NL,-0.9,51.0,178.0,164.0,16.0,33.0,10.0,1.0,5.0,20.0,1.0,0.0,10.0,50.0,0.201,0.253,0.366,0.619,71.0,0.267,63.0,60.0,4.0,2.0,0.0,2.0,0.0,9/HD,,"$265,254 "
Patrick Wisdom,32.0,CHC,NL,-0.4,75.0,174.0,158.0,16.0,27.0,7.0,2.0,8.0,23.0,5.0,0.0,10.0,59.0,0.171,0.237,0.392,0.629,74.0,0.276,68.0,62.0,1.0,4.0,1.0,1.0,0.0,H35D/9471,,"$2,725,000 "
Derek Hill,28.0,MIA,NL,0.1,32.0,114.0,107.0,11.0,25.0,4.0,1.0,4.0,18.0,4.0,1.0,2.0,39.0,0.234,0.259,0.402,0.661,78.0,0.299,77.0,43.0,1.0,2.0,2.0,1.0,0.0,87/HD,,"$218,790 "
Evan Carter,21.0,TEX,AL,0.6,45.0,162.0,144.0,23.0,27.0,6.0,2.0,5.0,15.0,2.0,0.0,15.0,43.0,0.188,0.272,0.361,0.633,81.0,0.284,79.0,52.0,1.0,2.0,0.0,1.0,0.0,7/9HD8,,"$745,000 "
Sam Hilliard,30.0,COL,NL,0.5,58.0,158.0,138.0,26.0,33.0,5.0,1.0,10.0,27.0,5.0,2.0,14.0,56.0,0.239,0.305,0.507,0.812,114.0,0.347,113.0,70.0,3.0,0.0,4.0,2.0,1.0,789/HD,,"$800,000 "
Pavin Smith,28.0,ARI,NL,0.6,60.0,158.0,137.0,26.0,37.0,11.0,0.0,9.0,36.0,1.0,0.0,18.0,31.0,0.27,0.348,0.547,0.896,145.0,0.382,145.0,75.0,4.0,0.0,0.0,3.0,0.0,397H/D1,,"$516,096 "
Matt Carpenter,38.0,STL,NL,-0.1,59.0,157.0,137.0,15.0,32.0,7.0,0.0,4.0,15.0,0.0,2.0,15.0,51.0,0.234,0.314,0.372,0.686,92.0,0.301,93.0,51.0,0.0,2.0,0.0,2.0,0.0,DH/345,,"$740,000 "
Kyle McCann,26.0,OAK,AL,0.2,54.0,157.0,140.0,13.0,33.0,4.0,0.0,5.0,15.0,0.0,0.0,16.0,59.0,0.236,0.318,0.371,0.69,101.0,0.305,100.0,52.0,2.0,1.0,0.0,0.0,1.0,2/HD,,"$740,000 "
Austin Barnes,34.0,LAD,NL,0.7,54.0,156.0,140.0,12.0,37.0,3.0,0.0,1.0,11.0,3.0,0.0,14.0,36.0,0.264,0.331,0.307,0.638,84.0,0.294,85.0,43.0,3.0,0.0,2.0,0.0,0.0,2/HD4,,"$3,500,000 "
Kyle Manzardo,23.0,CLE,AL,0.0,53.0,156.0,145.0,11.0,34.0,12.0,0.0,5.0,15.0,0.0,0.0,9.0,41.0,0.234,0.282,0.421,0.703,98.0,0.307,96.0,61.0,3.0,1.0,0.0,1.0,0.0,DH/3,,"$282,438 "
James Outman,27.0,LAD,NL,-0.4,53.0,156.0,136.0,12.0,20.0,4.0,0.0,4.0,11.0,2.0,1.0,16.0,55.0,0.147,0.256,0.265,0.521,49.0,0.24,50.0,36.0,0.0,4.0,0.0,0.0,0.0,8H/79,,"$335,340 "
Kris Bryant,32.0,COL,NL,-0.7,37.0,155.0,133.0,9.0,29.0,5.0,0.0,2.0,15.0,0.0,0.0,13.0,48.0,0.218,0.323,0.301,0.623,70.0,0.292,74.0,40.0,6.0,8.0,0.0,1.0,0.0,D93,,"$27,000,000 "
Luke Maile,33.0,CIN,NL,-0.4,53.0,154.0,135.0,8.0,24.0,4.0,0.0,2.0,8.0,2.0,0.0,13.0,52.0,0.178,0.268,0.252,0.52,44.0,0.25,43.0,34.0,4.0,4.0,1.0,1.0,0.0,2/1HD,,"$3,000,000 "
Christian Bethancourt,32.0,CHC,NL,0.8,24.0,59.0,57.0,9.0,16.0,4.0,0.0,3.0,15.0,3.0,0.0,2.0,14.0,0.281,0.305,0.509,0.814,125.0,0.385,143.0,29.0,1.0,0.0,0.0,0.0,0.0,2,,"$258,570 "
Austin Hedges,31.0,CLE,AL,-0.6,66.0,146.0,132.0,12.0,20.0,3.0,0.0,2.0,15.0,2.0,0.0,6.0,50.0,0.152,0.203,0.22,0.422,21.0,0.199,14.0,29.0,2.0,3.0,3.0,2.0,0.0,2/1,,"$4,000,000 "
Andruw Monasterio,27.0,MIL,NL,-0.2,59.0,142.0,125.0,14.0,26.0,5.0,0.0,1.0,16.0,6.0,2.0,16.0,40.0,0.208,0.303,0.272,0.575,63.0,0.267,60.0,34.0,3.0,1.0,0.0,0.0,0.0,54H/3D7,,"$683,774 "
Darell Hernaiz,22.0,OAK,AL,-0.8,48.0,135.0,120.0,8.0,23.0,3.0,0.0,1.0,12.0,1.0,1.0,11.0,27.0,0.192,0.261,0.242,0.503,48.0,0.235,51.0,29.0,4.0,1.0,1.0,2.0,0.0,56/H4,,"$624,546 "
Luis Torrens,28.0,NYM,NL,0.7,47.0,130.0,118.0,14.0,27.0,8.0,0.0,3.0,15.0,0.0,1.0,9.0,28.0,0.229,0.292,0.373,0.665,90.0,0.287,86.0,44.0,5.0,2.0,0.0,1.0,0.0,2/HD1,,"$787,097 "
Mike Trout,32.0,LAA,AL,1.1,29.0,126.0,109.0,17.0,24.0,1.0,2.0,10.0,14.0,6.0,1.0,16.0,27.0,0.22,0.325,0.541,0.867,139.0,0.372,136.0,59.0,0.0,1.0,0.0,0.0,1.0,8/D,,"$35,450,000 "
Michael Stefanic,28.0,LAA,AL,-0.2,40.0,124.0,110.0,8.0,24.0,4.0,0.0,0.0,8.0,0.0,0.0,10.0,20.0,0.218,0.301,0.255,0.555,60.0,0.256,58.0,28.0,5.0,3.0,1.0,0.0,0.0,4/HD15,,"$564,480 "
Christian Encarnacion-Strand,24.0,CIN,NL,-1.0,29.0,123.0,116.0,13.0,22.0,6.0,0.0,2.0,16.0,0.0,0.0,4.0,35.0,0.19,0.22,0.293,0.513,39.0,0.222,25.0,34.0,4.0,1.0,0.0,2.0,0.0,3,,"$740,000 "
Henry Davis,24.0,PIT,NL,-0.6,37.0,122.0,104.0,9.0,15.0,4.0,0.0,1.0,5.0,0.0,0.0,13.0,45.0,0.144,0.242,0.212,0.453,28.0,0.226,32.0,22.0,1.0,1.0,1.0,2.0,0.0,2/HD,,"$285,349 "
Kody Clemens,28.0,PHI,NL,0.3,43.0,120.0,114.0,17.0,25.0,9.0,1.0,5.0,18.0,0.0,0.0,5.0,29.0,0.219,0.258,0.447,0.706,93.0,0.3,88.0,51.0,2.0,1.0,0.0,0.0,0.0,H35/471D,,"$385,866 "
Trey Sweeney,24.0,DET,AL,0.7,36.0,119.0,110.0,11.0,24.0,5.0,0.0,4.0,17.0,2.0,0.0,7.0,32.0,0.218,0.269,0.373,0.642,82.0,0.29,81.0,41.0,3.0,1.0,0.0,1.0,0.0,6,,"$175,032 "
Vaughn Grissom,23.0,BOS,AL,-0.2,31.0,114.0,105.0,10.0,20.0,3.0,0.0,0.0,6.0,2.0,0.0,7.0,24.0,0.19,0.246,0.219,0.465,32.0,0.234,35.0,23.0,3.0,1.0,0.0,1.0,0.0,4/DH,,"$570,427 "
Heston Kjerstad,25.0,BAL,AL,0.4,39.0,114.0,99.0,8.0,25.0,2.0,0.0,4.0,14.0,1.0,0.0,10.0,33.0,0.253,0.351,0.394,0.745,118.0,0.336,123.0,39.0,0.0,5.0,0.0,0.0,2.0,D7H/9,,"$473,382 "
Dane Myers,28.0,MIA,NL,0.5,44.0,108.0,95.0,17.0,25.0,6.0,1.0,3.0,19.0,4.0,1.0,8.0,36.0,0.263,0.333,0.442,0.775,111.0,0.346,111.0,42.0,0.0,3.0,0.0,2.0,0.0,9H8/7D,,"$612,612 "
Bryan Ramos,22.0,CHW,AL,-0.2,32.0,108.0,99.0,13.0,20.0,4.0,0.0,3.0,11.0,0.0,2.0,7.0,22.0,0.202,0.252,0.333,0.586,67.0,0.273,80.0,33.0,3.0,0.0,0.0,1.0,0.0,5/DH,,"$206,856 "
Niko Kavadas,25.0,LAA,AL,-0.2,30.0,106.0,93.0,11.0,17.0,2.0,0.0,4.0,8.0,1.0,0.0,11.0,41.0,0.183,0.283,0.333,0.616,74.0,0.28,74.0,31.0,0.0,2.0,0.0,0.0,0.0,D/3H,,"$175,032 "
Trevor Story,31.0,BOS,AL,0.7,26.0,106.0,94.0,8.0,24.0,7.0,0.0,2.0,10.0,6.0,3.0,11.0,33.0,0.255,0.34,0.394,0.733,105.0,0.325,104.0,37.0,2.0,1.0,0.0,0.0,2.0,6,,"$22,500,000 "
Nick Allen,25.0,OAK,AL,0.2,41.0,105.0,97.0,6.0,17.0,4.0,0.0,1.0,4.0,0.0,0.0,5.0,20.0,0.175,0.216,0.247,0.463,35.0,0.215,33.0,24.0,0.0,0.0,3.0,0.0,0.0,6/5H4,,"$276,345 "
Oliver Dunn,26.0,MIL,NL,0.2,41.0,104.0,95.0,11.0,21.0,2.0,2.0,1.0,7.0,3.0,0.0,6.0,40.0,0.221,0.282,0.316,0.597,67.0,0.269,58.0,30.0,1.0,2.0,1.0,0.0,0.0,5H/D34,,"$290,394 "
Alek Thomas,24.0,ARI,NL,0.0,39.0,103.0,95.0,13.0,18.0,5.0,1.0,3.0,17.0,4.0,1.0,7.0,17.0,0.189,0.245,0.358,0.603,66.0,0.283,71.0,34.0,7.0,0.0,1.0,0.0,0.0,8/HD,,"$591,591 "
Jacob Wilson,22.0,OAK,AL,-0.2,28.0,103.0,92.0,11.0,23.0,2.0,2.0,0.0,3.0,0.0,0.0,8.0,10.0,0.25,0.314,0.315,0.629,85.0,0.281,82.0,29.0,4.0,1.0,1.0,1.0,0.0,6/H,,"$286,416 "
Ben Gamel,32.0,HOU,AL,0.2,20.0,69.0,58.0,13.0,15.0,3.0,0.0,1.0,4.0,0.0,0.0,11.0,17.0,0.259,0.377,0.362,0.739,113.0,0.328,113.0,21.0,0.0,0.0,0.0,0.0,1.0,9/7H,,"$245,176 "
Aaron Schunk,26.0,COL,NL,0.2,39.0,98.0,94.0,14.0,22.0,3.0,0.0,2.0,7.0,0.0,1.0,4.0,31.0,0.234,0.265,0.33,0.595,60.0,0.26,55.0,31.0,0.0,0.0,0.0,0.0,1.0,45/H6D,,"$369,954 "
Weston Wilson,29.0,PHI,NL,0.7,40.0,98.0,88.0,13.0,25.0,7.0,1.0,3.0,10.0,3.0,0.0,8.0,29.0,0.284,0.347,0.489,0.836,131.0,0.372,135.0,43.0,2.0,1.0,0.0,1.0,0.0,7H/549318,,"$361,998 "
Jace Jung,23.0,DET,AL,-0.5,34.0,94.0,79.0,14.0,19.0,5.0,0.0,0.0,3.0,0.0,1.0,15.0,29.0,0.241,0.362,0.304,0.665,94.0,0.304,97.0,24.0,3.0,0.0,0.0,0.0,0.0,5H/D4,,"$175,032 "
Nick Madrigal,27.0,CHC,NL,-0.4,51.0,94.0,86.0,5.0,19.0,3.0,0.0,0.0,10.0,1.0,0.0,4.0,10.0,0.221,0.28,0.256,0.535,53.0,0.246,50.0,22.0,2.0,3.0,1.0,0.0,0.0,54/HD,,"$1,810,000 "
Nathan Lukes,29.0,TOR,AL,1.2,22.0,91.0,76.0,13.0,23.0,4.0,2.0,1.0,10.0,1.0,0.0,10.0,9.0,0.303,0.371,0.447,0.818,132.0,0.355,130.0,34.0,1.0,0.0,2.0,3.0,0.0,7/98HD,,"$123,318 "
Griffin Conine,26.0,MIA,NL,0.7,30.0,89.0,82.0,14.0,22.0,4.0,1.0,3.0,12.0,0.0,0.0,6.0,28.0,0.268,0.326,0.451,0.777,111.0,0.332,104.0,37.0,1.0,1.0,0.0,0.0,0.0,9/7HD,,"$135,252 "
Dillon Dingler,25.0,DET,AL,-0.3,27.0,87.0,84.0,2.0,14.0,5.0,2.0,1.0,11.0,0.0,0.0,3.0,30.0,0.167,0.195,0.31,0.505,42.0,0.217,31.0,26.0,2.0,0.0,0.0,0.0,0.0,2,,"$242,658 "
Will Wagner,25.0,TOR,AL,0.7,24.0,86.0,82.0,8.0,25.0,6.0,0.0,2.0,11.0,0.0,0.0,4.0,16.0,0.305,0.337,0.451,0.788,123.0,0.354,130.0,37.0,3.0,0.0,0.0,0.0,0.0,4/H3D,,"$190,944 "
Joshua Palacios,28.0,PIT,NL,-0.1,23.0,78.0,67.0,10.0,15.0,2.0,0.0,2.0,9.0,1.0,0.0,10.0,12.0,0.224,0.333,0.343,0.677,90.0,0.308,90.0,23.0,1.0,1.0,0.0,0.0,0.0,9/78H,,"$202,878 "
Chuckie Robinson,29.0,CHW,AL,-0.5,26.0,76.0,70.0,2.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,20.0,0.129,0.197,0.129,0.326,-3.0,0.171,0.0,9.0,1.0,1.0,0.0,0.0,0.0,2/H,,"$411,730 "
Zach DeLoach,25.0,CHW,AL,-0.1,22.0,75.0,67.0,10.0,14.0,5.0,0.0,1.0,5.0,0.0,1.0,8.0,21.0,0.209,0.293,0.328,0.622,79.0,0.28,84.0,22.0,0.0,0.0,0.0,0.0,0.0,9/7H8D,,"$163,098 "
Jon Berti,34.0,NYY,AL,0.6,25.0,74.0,66.0,10.0,18.0,0.0,0.0,1.0,6.0,5.0,1.0,6.0,14.0,0.273,0.342,0.318,0.661,91.0,0.334,108.0,21.0,2.0,1.0,1.0,0.0,0.0,5/H47D,,"$3,625,000 "
Eric Wagaman,26.0,LAA,AL,0.4,18.0,74.0,72.0,6.0,18.0,5.0,0.0,2.0,10.0,0.0,0.0,2.0,17.0,0.25,0.27,0.403,0.673,87.0,0.291,83.0,29.0,1.0,0.0,0.0,0.0,0.0,5/7H,,"$75,582 "
Jacob Amaya,25.0,CHW,AL,0.0,23.0,71.0,67.0,4.0,12.0,1.0,0.0,0.0,3.0,1.0,0.0,4.0,28.0,0.179,0.225,0.194,0.419,23.0,0.194,15.0,13.0,3.0,0.0,0.0,0.0,0.0,6,,"$171,054 "
Jack López,31.0,LAA,AL,0.0,27.0,71.0,67.0,4.0,17.0,3.0,0.0,1.0,6.0,0.0,1.0,2.0,25.0,0.254,0.286,0.343,0.629,77.0,0.289,87.0,23.0,2.0,1.0,1.0,0.0,0.0,4/6H9,,"$175,032 "
